"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Standing Calf Raise",,"10kg",2,"normal",,15,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Seated Calf Raise",,"",0,"normal",50,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Seated Calf Raise",,"",1,"normal",50,8,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Seated Calf Raise",,"",2,"normal",50,8,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bent Over Row (Barbell)",,"",0,"normal",40,10,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bent Over Row (Barbell)",,"",1,"normal",40,10,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bent Over Row (Barbell)",,"",2,"normal",40,12,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Lat Pulldown (Cable)",,"",0,"normal",40,10,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Lat Pulldown (Cable)",,"",1,"normal",40,8,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Lat Pulldown (Cable)",,"",2,"normal",40,9,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",10,12,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",10,7,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",10,9,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bicep Curl (Barbell)",,"",0,"normal",25,10,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bicep Curl (Barbell)",,"",1,"normal",25,10,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Bicep Curl (Barbell)",,"",2,"normal",25,6,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Face Pull",,"",0,"normal",12.5,12,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Face Pull",,"",1,"normal",12.5,12,,,
"PULL","Jun 2, 2026, 1:00 PM","Jun 2, 2026, 1:36 PM","","Face Pull",,"",2,"normal",12.5,10,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",0,"normal",40,12,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",1,"normal",40,12,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",2,"normal",45,6,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",28,10,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",28,10,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",28,6,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"",0,"normal",32,12,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"",1,"normal",32,8,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"",2,"normal",32,8,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",6,10,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",6,7,,,
"PUSH","Jun 1, 2026, 1:12 PM","Jun 1, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",6,7,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bent Over Row (Barbell)",,"",0,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bent Over Row (Barbell)",,"",1,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bent Over Row (Barbell)",,"",2,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Lat Pulldown (Cable)",,"",0,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Lat Pulldown (Cable)",,"",1,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",10,12,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",10,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",10,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bicep Curl (Barbell)",,"",0,"normal",25,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bicep Curl (Barbell)",,"",1,"normal",25,7,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Bicep Curl (Barbell)",,"",2,"normal",25,7,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Face Pull",,"",0,"normal",12.5,12,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Face Pull",,"",1,"normal",12.5,10,,,
"PULL","May 31, 2026, 10:23 AM","May 31, 2026, 11:03 AM","","Face Pull",,"",2,"normal",12.5,10,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Incline Bench Press (Barbell)",,"",0,"normal",40,12,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Incline Bench Press (Barbell)",,"",1,"normal",40,12,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Incline Bench Press (Barbell)",,"",2,"normal",40,10,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",28,10,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",28,8,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",28,8,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Bench Press (Dumbbell)",,"",0,"normal",32,10,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Bench Press (Dumbbell)",,"",1,"normal",32,9,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Bench Press (Dumbbell)",,"",2,"normal",32,8,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",6,9,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",6,8,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",6,8,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Skullcrusher (Dumbbell)",,"",0,"normal",10,12,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Skullcrusher (Dumbbell)",,"",1,"normal",10,10,,,
"PUSH","May 29, 2026, 1:26 PM","May 29, 2026, 2:07 PM","","Skullcrusher (Dumbbell)",,"",2,"normal",10,10,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Squat (Barbell)",,"",0,"normal",35,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Squat (Barbell)",,"",1,"normal",35,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Squat (Barbell)",,"",2,"normal",35,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Bulgarian Split Squat",,"",0,"normal",6,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Bulgarian Split Squat",,"",1,"normal",6,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Bulgarian Split Squat",,"",2,"normal",6,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Standing Calf Raise",,"8kg",0,"normal",,15,,,
